model,hardware,strategy,latency_ms,latency_source,throughput_rps,estimated_accuracy,accuracy_source,model_size_mb,facility_energy_kwh,it_energy_kwh,energy_per_1000_inferences_wh,carbon_kgco2,monthly_cost_usd,active_hours_month,meets_latency,meets_accuracy,meets_cost,score
MobileNetV2,NVIDIA T4,FP32 Baseline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,20.502534059082087,13.142650037873132,4.100506811816417,7.6064401359194544,156.5623621405881,0.12927014015278676,True,True,True,0.28001191416599397
MobileNetV2,NVIDIA T4,Batch Size 8,0.11168940109200776,measured_adjusted,9524.894724412377,0.9777777777777777,measured_dataset,14.0,20.501136513185095,13.14175417511865,4.10022730263702,7.60592164639167,156.56211348483635,0.14581671809234342,True,True,True,0.280090149769043
MobileNetV2,NVIDIA T4,Batch Size 32,0.1628803765925113,measured_adjusted,7871.121794239678,0.9777777777777777,measured_dataset,14.0,20.49959190973179,13.140764044699866,4.099918381946358,7.605348598510495,156.56198685600987,0.17645374130855393,True,True,True,0.28031964673849896
MobileNetV2,CPU Server,Caching + Quantization,0.0604984255915042,measured_adjusted,43498.30465237716,0.9657777777777777,measured_dataset,5.88,79.71497888740673,51.09934544064534,15.942995777481345,29.5742571672279,125.50943183846252,0.03192972461773833,True,True,True,0.6040816311489965
MobileNetV2,CPU Server,INT8 Quantization,0.06701364065520465,measured_adjusted,21944.610394479492,0.9657777777777777,measured_dataset,5.88,79.71764144328316,51.10105220723279,15.943528288656632,29.57524497545805,125.51091107506299,0.06329066061880441,True,True,True,0.6041294900578196
MobileNetV2,CPU Server,ONNX Runtime,0.06515215063700452,measured_adjusted,21317.621526065795,0.9777777777777777,measured_dataset,14.0,79.72034499692599,51.10278525443973,15.944068999385195,29.576247993859543,125.51181344202907,0.06515215063700451,True,True,True,0.6041379267932242
MobileNetV2,CPU Server,Structured Pruning,0.0763210907462053,measured_adjusted,17240.181721978755,0.9577777777777777,measured_dataset,9.1,79.71999019382604,51.10255781655515,15.943998038765207,29.57611636190946,125.51200808505122,0.0805611513432167,True,True,True,0.6041881143381563
MobileNetV2,CPU Server,Quantization + Batching,0.08562854083720595,measured_adjusted,25951.88707521053,0.9597777777777777,measured_dataset,5.88,79.71497727411538,51.09934440648422,15.942995454823077,29.574256568696807,125.5098630844774,0.05351783802325372,True,True,True,0.60419932658641
MobileNetV2,CPU Server,Measured Sklearn Pipeline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,79.72628473235055,51.10659277714779,15.945256946470112,29.578451635702056,125.51499651715524,0.12927014015278676,True,True,True,0.604307052582172
MobileNetV2,CPU Server,FP32 Baseline,0.09307450091000646,measured_adjusted,10744.08124913716,0.9777777777777777,measured_dataset,14.0,79.72961214575808,51.10872573446031,15.945922429151619,29.57968610607625,125.51606128944564,0.12927014015278676,True,True,True,0.6043280818349075
MobileNetV2,CPU Server,Batch Size 8,0.11168940109200776,measured_adjusted,9524.894724412377,0.9777777777777777,measured_dataset,14.0,79.72447340948835,51.10543167274894,15.944894681897672,29.577779634920176,125.51474782539813,0.14581671809234342,True,True,True,0.6043828054874243
MobileNetV2,CPU Server,Batch Size 32,0.1628803765925113,measured_adjusted,7871.121794239678,0.9777777777777777,measured_dataset,14.0,79.71868386140531,51.10172042397776,15.943736772281062,29.57563171258137,125.5135079104759,0.17645374130855393,True,True,True,0.6045857195030061
MobileNetV2,NVIDIA A10,Caching + Quantization,0.0604984255915042,measured_adjusted,43498.30465237716,0.9657777777777777,measured_dataset,5.88,45.55148695318484,29.19967112383644,9.110297390636969,16.899601659631575,239.57705056006228,0.03192972461773833,True,True,False,3.513168298265265
MobileNetV2,NVIDIA A10,INT8 Quantization,0.06701364065520465,measured_adjusted,21944.610394479492,0.9657777777777777,measured_dataset,5.88,45.55318233283102,29.20075790566091,9.110636466566204,16.900230645480306,239.57815757839705,0.06329066061880441,True,True,False,3.5132099818984406
